"Stock","precio","fecha"
"NOVA US",3.59,"2024-11-08"
"IBE",13.24,"2024-11-08"
"VOW GY",88.55,"2024-11-08"
"NOVA US",3.14,"2024-11-09"
"IBE",13.21,"2024-11-09"
"VOW GY",87.65,"2024-11-09"
"NOVA US",3.14,"2024-11-10"
"IBE",13.21,"2024-11-10"
"VOW GY",87.65,"2024-11-10"
"NOVA US",3.49,"2024-11-11"
"IBE",13.37,"2024-11-11"
"VOW GY",87.55,"2024-11-11"
"NOVA US",3.39,"2024-11-12"
"IBE",13.19,"2024-11-12"
"VOW GY",87.45,"2024-11-12"
"NOVA US",3.41,"2024-11-13"
"IBE",13.21,"2024-11-13"
"VOW GY",85.45,"2024-11-13"
"NOVA US",4.03,"2024-11-14"
"IBE",13.37,"2024-11-14"
"VOW GY",86.35,"2024-11-14"
"NOVA US",3.75,"2024-11-15"
"IBE",13.41,"2024-11-15"
"VOW GY",87.1,"2024-11-15"
"NOVA US",3.75,"2024-11-16"
"IBE",13.39,"2024-11-16"
"VOW GY",86.9,"2024-11-16"
"NOVA US",3.75,"2024-11-17"
"IBE",13.39,"2024-11-17"
"VOW GY",86.9,"2024-11-17"
"NOVA US",3.75,"2024-11-18"
"IBE",13.39,"2024-11-18"
"VOW GY",86.9,"2024-11-18"
"NOVA US",3.65,"2024-11-19"
"IBE",13.33,"2024-11-19"
"VOW GY",87.05,"2024-11-19"
"NOVA US",3.44,"2024-11-20"
"IBE",13.4,"2024-11-20"
"VOW GY",86.45,"2024-11-20"
"NOVA US",4.23,"2024-11-21"
"IBE",13.35,"2024-11-21"
"VOW GY",84.5,"2024-11-21"
